id,rolelevel,category,rolename
1001,1,"Hardware","Hardware Assistant"
1002,2,"Hardware","Hardware Technician"
1003,3,"Hardware","Senior Hardware Technician"
1004,4,"Hardware","Hardware Lead"
1005,1,"Software","Software Assistant"
1006,2,"Software","Device Programmer"
1007,3,"Software","Firmware Specialist"
1008,4,"Software","Software Lead"
1009,1,"Diagnostics","Diagnostics Assistant"
1010,2,"Diagnostics","Diagnostics Technician"
1011,3,"Diagnostics","Fault Analysis Specialist"
1012,4,"Diagnostics","Diagnostics Lead"
1013,1,"Calibration","Calibration Trainee"
1014,2,"Calibration","Calibration Technician"
1015,3,"Calibration","Calibration Specialist"
1016,4,"Calibration","Calibration Lead"
