region_name,country_name,city_name,Missing Days,Data Volume (KB)
Central Europe,Austria,Graz,3638,435302
Central Europe,Austria,Salzburg,4672,444499
Central Europe,Austria,Vienna,2723,724262
Central Europe,Croatia,Zagreb,4714,436861
Central Europe,Czech Republic,Brno,3751,267548
Central Europe,Czech Republic,Prague,3501,630191
Central Europe,Germany,Berlin,1757,1067404
Central Europe,Germany,Hamburg,5024,434344
Central Europe,Germany,Leipzig,5194,399402
Central Europe,Germany,Munich,3644,648363
Central Europe,Germany,Stuttgart,3507,430557
Central Europe,Hungary,Budapest,3221,693174
Central Europe,Poland,Warsaw,4235,548087
